system:index,VH,VV,date,forest,.geo
0_S1A_IW_GRDH_1SDV_20150101T154735_20150101T154800_003979_004CA7_E6AC,-16.187010514736972,-10.45829215898002,2015-01-01,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SSV_20150218T154712_20150218T154741_004679_005C7A_2B7D,-16.06120191544954,-9.529855120337157,2015-02-18,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SSV_20150302T154712_20150302T154741_004854_0060BC_C5F5,-15.93539331616211,-11.126874837561328,2015-03-02,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SSV_20150326T154720_20150326T154745_005204_006920_CF2C,-15.80958471687468,-8.768588891717327,2015-03-26,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20150419T154721_20150419T154746_005554_0071AE_6951,-15.683776117587248,-9.672361664594945,2015-04-19,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SSV_20150513T154722_20150513T154747_005904_0079B4_F989,-16.108080089668945,-9.660915455712644,2015-05-13,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SSV_20150606T154724_20150606T154749_006254_0082FB_BAD7,-16.532384061750644,-9.210192810884047,2015-06-06,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SSV_20150724T154726_20150724T154751_006954_0096B3_0990,-16.956688033832343,-11.122990162004236,2015-07-24,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SSV_20150817T154727_20150817T154752_007304_00A054_CCBA,-17.38099200591404,-11.337117331310328,2015-08-17,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20150910T154742_20150910T154807_007654_00A9E3_AE7C,-17.80529597799574,-11.38639873725198,2015-09-10,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SSV_20151004T154729_20151004T154754_008004_00B33E_99FA,-17.17087220186239,-11.591721175354898,2015-10-04,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SSV_20151028T154729_20151028T154754_008354_00BCAA_378B,-16.53644842572904,-11.388329362103882,2015-10-28,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SSV_20151121T154723_20151121T154748_008704_00C637_C027,-15.90202464959569,-9.70068200670377,2015-11-21,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20151215T154736_20151215T154801_009054_00CFF2_AE13,-15.26760087346234,-9.421134280645836,2015-12-15,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SSV_20160108T154721_20160108T154746_009404_00D9EC_9F9E,-15.407114504186335,-10.300971463691756,2016-01-08,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SSV_20160201T154720_20160201T154745_009754_00E415_48B6,-15.546628134910332,-10.546782758269542,2016-02-01,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SSV_20160225T154720_20160225T154745_010104_00EE4A_28BF,-15.686141765634327,-10.490866502146114,2016-02-25,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SSV_20160320T154721_20160320T154746_010454_00F82F_2873,-15.825655396358322,-10.289645898164729,2016-03-20,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SSV_20160413T154722_20160413T154747_010804_010274_BC22,-15.965169027082318,-10.619170062931053,2016-04-13,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SSV_20160507T154723_20160507T154748_011154_010D5A_9510,-16.104682657806315,-9.24313401395139,2016-05-07,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SSV_20160531T154724_20160531T154749_011504_0118B6_2736,-16.244196288530308,-10.501380338668229,2016-05-31,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20160706T154726_20160706T154751_012029_012957_D31D,-16.383709919254304,-10.854062358586578,2016-07-06,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SSV_20160718T154727_20160718T154752_012204_012F10_3B5C,-16.673564034351134,-11.107605214930269,2016-07-18,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SSV_20160811T154728_20160811T154753_012554_013AA1_2127,-16.963418149447968,-11.395708391715504,2016-08-11,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SSV_20160904T154729_20160904T154754_012904_014652_CF74,-17.253272264544798,-11.835488741973002,2016-09-04,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20160928T154747_20160928T154812_013254_0151AF_161F,-17.543126379641627,-11.928256510315824,2016-09-28,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20161022T154747_20161022T154812_013604_015CB5_13B3,-17.75595177540398,-11.9123562511666,2016-10-22,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20161115T154747_20161115T154812_013954_01679C_ADDD,-16.306113866064393,-9.846617430849632,2016-11-15,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20161209T154746_20161209T154811_014304_017281_B8F4,-16.877406817505392,-10.818759523521049,2016-12-09,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20170102T154744_20170102T154809_014654_017D58_A37D,-16.86356937698974,-10.95993547796573,2017-01-02,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20170126T154743_20170126T154808_015004_018819_780E,-17.072403389108796,-11.281123721404777,2017-01-26,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20170207T154743_20170207T154808_015179_018D82_2F87,-17.15397059820752,-11.390935726617926,2017-02-07,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20170219T154743_20170219T154808_015354_0192F9_6385,-15.91764597006174,-10.058568026369851,2017-02-19,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20170303T154743_20170303T154808_015529_019843_AAE2,-17.363158784083886,-11.659212895728633,2017-03-03,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20170315T154743_20170315T154808_015704_019D8C_E406,-17.535908192102273,-11.730225660945791,2017-03-15,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20170327T154743_20170327T154808_015879_01A2C4_B64B,-16.23054826878317,-9.993548704186807,2017-03-27,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20170408T154744_20170408T154809_016054_01A7FF_6255,-16.06677180076891,-9.727150078711247,2017-04-08,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20170420T154744_20170420T154809_016229_01AD5C_406C,-16.015704591560915,-9.86378324404263,2017-04-20,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20170502T154745_20170502T154810_016404_01B2A8_3D4B,-16.876532222482812,-10.833231471574896,2017-05-02,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20170514T154746_20170514T154811_016579_01B7FC_CA33,-16.65068996289366,-10.768164953184456,2017-05-14,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20170526T154746_20170526T154811_016754_01BD5B_1EF2,-16.76888026541997,-10.89831291939652,2017-05-26,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20170607T154747_20170607T154812_016929_01C2CB_96E5,-16.554518137065244,-10.66707231825752,2017-06-07,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20170619T154748_20170619T154813_017104_01C832_53D6,-16.819012155082202,-11.081164345859936,2017-06-19,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20170701T154748_20170701T154813_017279_01CD79_4931,-17.091249830055272,-11.265531403263646,2017-07-01,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20170713T154749_20170713T154814_017454_01D2C1_54CF,-17.17882657927016,-11.5169875029905,2017-07-13,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20170725T154750_20170725T154815_017629_01D81D_196E,-17.378286586766297,-11.736450380966255,2017-07-25,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20170806T154750_20170806T154815_017804_01DD71_6374,-17.383407083593905,-11.680616975642357,2017-08-06,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20170818T154751_20170818T154816_017979_01E2BF_EE67,-17.777282462763527,-11.923326754700986,2017-08-18,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20170830T154752_20170830T154817_018154_01E804_AF33,-17.981756828251665,-12.095929584119824,2017-08-30,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20170911T154752_20170911T154817_018329_01ED7D_1A00,-17.966612321278216,-12.140512023558166,2017-09-11,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20170923T154752_20170923T154817_018504_01F2DA_E545,-17.974948827002052,-12.161595231073028,2017-09-23,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20171005T154753_20171005T154818_018679_01F831_5043,-18.075489234552617,-12.17326683995838,2017-10-05,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20171017T154753_20171017T154818_018854_01FD8B_2DE7,-18.11719248341442,-12.048351739995764,2017-10-17,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20171029T154753_20171029T154818_019029_0202DC_F65D,-17.953933683296647,-11.679807710168443,2017-10-29,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20171110T154753_20171110T154818_019204_020841_E582,-15.66326091800159,-9.22656010644062,2017-11-10,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
