system:index,B2_mean,B4_mean,B5_mean,B6_mean,B7_mean,date,image_count,interpolated_flag,month,year,.geo
2,12354.94637,13920.48812,20551.87075,17365.13507,14435.81465,3/1/2013,0,1,3,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,12354.94637,13920.48812,20551.87075,17365.13507,14435.81465,4/1/2013,9,0,4,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,12112.84155,13729.07241,20757.16072,18004.84559,14832.58849,5/1/2013,4,0,5,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,17960.67088,19067.72158,23634.03812,20412.52062,16811.22082,6/1/2013,7,0,6,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,22111.44686,23344.38341,26073.88764,23111.84559,19429.66229,7/1/2013,8,0,7,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,23808.48362,24896.04608,26860.83,24121.62683,20236.1042,8/1/2013,8,0,8,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,13750.19571,16198.93557,19456.10354,20717.23344,17491.87931,9/1/2013,6,0,9,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,12235.16412,15123.33315,18468.81475,19850.06487,17040.4422,10/1/2013,8,0,10,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,12482.30219,14606.98027,18501.6891,18736.42309,15807.80596,11/1/2013,6,0,11,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,20341.18039,21062.82125,26285.50857,20040.39728,16526.19007,12/1/2013,6,0,12,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,12648.68454,14344.28698,20878.22695,18204.14018,15099.65127,1/1/2014,8,0,1,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,9834.984792,12072.84916,17741.77116,17765.94909,14762.47969,2/1/2014,4,0,2,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,16941.32841,18089.19447,22773.78733,19871.13063,16426.51204,3/1/2014,6,0,3,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,13999.21599,15234.47168,21721.73234,17224.60558,14191.85764,4/1/2014,8,0,4,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,18948.21026,20026.4622,24830.43824,20577.44508,16686.5779,5/1/2014,8,0,5,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,16829.12832,18845.94832,22659.43936,21651.42667,18511.34794,6/1/2014,6,0,6,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,14207.77062,16452.95134,20047.70071,20493.1874,17575.02047,7/1/2014,7,0,7,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,21293.4253,22665.04038,24854.13731,22676.10888,18859.04353,8/1/2014,8,0,8,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,10779.9001,13777.3938,17314.59715,19409.64788,16389.38661,9/1/2014,6,0,9,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,15454.07015,17565.27404,20371.52274,21405.0856,18058.86886,10/1/2014,8,0,10,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,14863.30995,16680.09029,20554.97282,19051.88062,15866.35025,11/1/2014,8,0,11,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,15240.5815,16471.72601,22168.87099,18518.36814,15168.69802,12/1/2014,8,0,12,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,10929.24734,13054.1535,18741.29068,17939.31761,14899.9662,1/1/2015,8,0,1,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,16775.13124,18677.60199,22242.81955,19891.78974,16867.85026,2/1/2015,6,0,2,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,16421.61992,18200.54157,21482.07747,19666.53119,16216.36001,3/1/2015,6,0,3,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,17068.25681,18424.42471,22699.4956,18233.31964,15652.86548,4/1/2015,7,0,4,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,15653.33509,16726.78515,22484.24935,19073.12944,15527.87148,5/1/2015,8,0,5,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,13614.65444,15458.27775,20104.15967,18960.17303,15868.95153,6/1/2015,8,0,6,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,15234.36637,17288.55592,20602.20581,20585.41465,17554.35232,7/1/2015,6,0,7,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,17149.99385,18915.82595,21621.83647,21536.43968,18193.08834,8/1/2015,8,0,8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,16437.8932,18415.19864,21029.30734,21551.77935,18284.11771,9/1/2015,7,0,9,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,15477.37252,17815.60129,20523.44337,20674.70574,17440.32532,10/1/2015,8,0,10,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,16750.82778,18203.64707,21821.49551,19120.35127,15644.33749,11/1/2015,8,0,11,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
